,Catalytic Heater,Dehydrator - Glycol,Flare KnockOut Drum,Gas Boot,Gas Meter Building,Gas Pipeline Header,Gas Sweetening: Amine,Incinerator,LACT Unit,Line Heater,Liquid Pump,Pig Trap (Gas Service),Pop Tank,Power Generator (natural gas fired),Process Boiler,Production Tank (fixed roof - heavyoil),Production Tank (fixed roof -Light/Medium Oil),Propane Fuel Tank,Reciprocating Compressor,Reciprocating Compressor - ElectricDriver,Screw Compressor,Screw Compressor - ElectricDriver,Scrubber,Separator,Tank Heater,Treater,Well Pump,Wellhead (Bitumen Pump),Wellhead (CBM Flow),Wellhead (Gas Flow),Wellhead (Gas Pump),Wellhead (Gas Storage),Wellhead (Oil Flow),Wellhead (Oil Pump)
321,0.00255529728,0.0,0.003215952,0.00028639999999999997,0.0,0.004732049980000001,0.0,0.00222995916,0.0,0.011712655269999999,0.0,0.00183820678,3.093428e-05,0.0,0.0,0.0,0.00445808706,0.0,0.0,0.0,0.014142598730000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311,0.00255529728,0.0,0.003215952,0.00028639999999999997,0.0,0.004732049980000001,0.0,0.00222995916,0.0,0.011712655269999999,0.0,0.00183820678,3.093428e-05,0.0,0.0,0.0,0.0045539599,0.0,0.0,0.0,0.014142598730000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.462507999999999e-05,0.00082452622,0.0,0.0,0.0088339974,0.00025676852,0.14739379076000003,0.0,0.021143885230000003,0.006887165739999999,0.0006388562999999999,0.13254705292,0.0004845836999999999,0.046066759639999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
341,0.00098189664,0.0,0.0,0.0,0.0,0.01564856132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00368425628,0.00035358288,0.0,0.0,0.08163500059,0.0,0.0,0.0,0.012082286919999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
342,0.00015379104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005273006199999999,0.011685072319999998,0.0,0.0,0.15066768548000004,0.0,0.0,0.0,0.024875296599999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
351,0.0009483780799999999,0.0,0.0005627916,0.0,0.0,0.008058540559999999,0.0,0.0,0.0,0.0,0.0,0.00222617002,1.041352e-05,0.0,0.0,0.0,0.00094503228,0.0,0.047972507370000014,0.0,0.0,0.0,0.0,0.011189738969999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
361,0.0009483780799999999,0.0,0.0005627916,0.0,0.0,0.008058540559999999,0.0,0.0,0.0,0.0,0.0,0.00222617002,1.041352e-05,0.0,0.0,0.0,0.00094503228,0.0,0.047972507370000014,0.0,0.0,0.0,0.0,0.011189738969999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
362,0.0041030660799999995,0.0,0.00268531992,0.0,0.0,0.015554857360000002,0.0,0.0,0.0,0.0,0.0,0.005422248139999999,0.0,0.0,0.0,0.0,0.0014209724499999999,0.0,0.05770605959000001,0.0,0.0,0.0,0.0,0.04513735284999999,0.00266521035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
363,0.0008931710400000001,0.0,0.0,0.0,0.0046783738799999995,0.01269688658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014811538539999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
364,0.0064197900799999996,0.0,0.0024119639999999995,0.0,0.0,0.032796386,0.004347233,0.0,0.0,0.0,0.0,0.0046001355599999995,0.0,0.00263316438,0.0,0.0,0.0010237849699999998,0.0,0.17103241758000004,0.0,0.034866406770000004,0.0,0.0,0.0351368615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
601,0.00530184752,0.0,0.00101302488,0.0,0.0,0.01471152172,0.0,0.0,0.0,0.0,0.0,0.00288201264,1.898936e-05,0.0,0.0,0.0,0.00064371764,0.0,0.5680222974100001,0.0,0.061331269740000006,0.0,0.0,0.04043441907999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
611,0.00049094832,0.0,0.00408425904,0.0,0.01286552817,0.0,0.0,0.0,0.007849403100000001,0.0,0.00083885949,0.00231854222,0.00015314,0.0,0.0,0.0,0.01199437709,0.0,0.0,0.0,0.0,0.056913721279999996,0.010668900209999999,0.026920241579999997,0.0,0.07589251999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
621,0.003994623679999999,0.0,0.0032963507999999994,0.0,0.0075260797199999995,0.03860603152,0.0,0.0,0.0,0.0,3.3509699999999995e-05,0.0032607386599999995,0.0,0.0,0.0008445792,0.0,0.00111280975,0.0,0.49293489457000006,0.0,0.008261518070000001,0.004465305259999999,0.0,0.04778613163999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
